Token,Index
<unk>,0
<pad>,1
<bos>,2
<eos>,3
我,4
每年,5
必须,6
来,7
这里,8
你,9
不再,10
只是,11
一个,12
孩子,13
了,14
想要,15
什么,16
不,17
知道,18
不会,19
游泳,20
从中,21
选择,22
一人,23
海豚,24
是,25
哺乳动物,26
一艘船,27
我会,28
在,29
等,30
着,31
到,32
他,33
回来,34
的,35
他们,36
互拥,37
我们,38
能,39
去,40
别的,41
地方,42
谈谈,43
吗,44
联系,45
上,46
已经,47
为时已晚,48
男孩,49
到家,50
绝不会,51
让,52
做,53
那儿,54
天气,55
请,56
告诉,57
名字,58
不要,59
问,60
那家店,61
卖,62
报纸,63
和,64
杂志,65
可能,66
发生,67
交通事故,68
吧,69
个,70
大学生,71
对,72
花粉,73
或,74
灰尘,75
过敏,76
感觉,77
舒服,78
计划,79
甚么,80
应该,81
亲自,82
一位,83
老朋友,84
从前,85
一样,86
不能,87
把,88
窗关,89
拜访,90
祖母,91
房子,92
汤姆,93
当时,94
非常,95
害怕,96
再,97
读,98
一次,99
两个,100
问题,101
有,102
手机,103
大学,104
后,105
主修,106
玛丽,107
那件事,108
真实,109
原因,110
这,111
那,112
只,113
黑鸟,114
不是,115
乌,116
鸫,117
好痛,118
工作,119
数,120
小时,121
会议,122
结束,123
还,124
住,125
父亲,126
里,127
刚刚,128
切,129
手指,130
受够了,131
抱怨,132
偶尔,133
照顾,134
几乎,135
每天,136
洗澡,137
下雨,138
维持,139
人,140
声誉,141
很,142
难,143
生活,144
毁,145
该,146
火车站,147
你家,148
地址,149
有名,150
建筑师,151
造,152
这个,153
希望,154
你别,155
死,156
别哭,157
学会,158
与,159
自然,160
和谐,161
共处,162
她,163
似乎,164
喜欢,165
哥哥,166
覆水难收,167
觉得,168
外遇,169
自从,170
当,171
无家可归,172
时候,173
羡慕,174
兔子,175
乌龟,176
赛跑,177
指南针,178
指向,179
北边,180
遭受,181
心脏病,182
困扰,183
人数,184
增加,185
简短地,186
谈,187
英语,188
变成,189
最,190
学科,191
理发师,192
为,193
