Token,Index
<unk>,0
<pad>,1
<bos>,2
<eos>,3
I,4
'll,5
have,6
to,7
come,8
here,9
every,10
year,11
.,12
You,13
're,14
no,15
longer,16
a,17
mere,18
child,19
What,20
are,21
you,22
after,23
?,24
did,25
n't,26
know,27
how,28
swim,29
Choose,30
one,31
person,32
A,33
dolphin,34
is,35
mammal,36
want,37
boat,38
will,39
wait,40
until,41
he,42
comes,43
back,44
They,45
hugged,46
each,47
other,48
Could,49
we,50
go,51
somewhere,52
and,53
talk,54
We,55
were,56
unable,57
make,58
contact,59
with,60
them,61
it,62
was,63
too,64
late,65
The,66
boy,67
has,68
home,69
never,70
allow,71
do,72
that,73
How,74
's,75
the,76
weather,77
there,78
Please,79
tell,80
me,81
your,82
name,83
ask,84
That,85
store,86
sells,87
newspapers,88
magazines,89
There,90
probably,91
been,92
traffic,93
accident,94
'm,95
university,96
student,97
Probably,98
allergic,99
pollen,100
or,101
dust,102
Are,103
feeling,104
under,105
plan,106
sell,107
should,108
in,109
He,110
my,111
old,112
friend,113
different,114
from,115
what,116
used,117
be,118
Would,119
please,120
shut,121
window,122
visited,123
grandmother,124
house,125
Tom,126
very,127
scared,128
``,129
Read,130
once,131
more,132
",",133
'',134
asked,135
two,136
questions,137
Do,138
mobile,139
phone,140
major,141
at,142
college,143
wo,144
Mary,145
real,146
reason,147
It,148
impossible,149
black,150
bird,151
not,152
blackbird,153
Ouch,154
!,155
My,156
finger,157
got,158
caught,159
door,160
mine,161
work,162
long,163
hours,164
meeting,165
ended,166
still,167
live,168
dad,169
place,170
just,171
cut,172
fed,173
up,174
complaining,175
look,176
children,177
time,178
take,179
bath,180
almost,181
day,182
raining,183
hard,184
maintain,185
reputation,186
ruined,187
life,188
station,189
address,190
famous,191
architect,192
built,193
this,194
hope,195
die,196
cry,197
must,198
learn,199
harmony,200
nature,201
She,202
seems,203
love,204
brother,205
done,206
can,207
undone,208
think,209
cheating,210
lived,211
since,212
2003,213
often,214
slept,215
on,216
bench,217
when,218
homeless,219
envy,220
him,221
