source,target
The meeting will end tomorrow.,会议明天就结束了
I like dogs and my sister likes cats.,我喜欢狗
I wish you a Merry Christmas.,祝你圣诞节快乐
It looks like Tom will do what we've asked him to do.,看来汤姆会按我们要求的去做
He chose every word with care.,他选每个词都深思熟虑
Tom doesn't drink beer.,汤姆不喝啤酒
I didn't like it.,我没有喜欢过
He hasn't yet turned in the report this month.,他这个月还没有提交报告书
Europeans like to drink wine.,欧洲人都爱喝葡萄酒
"""Tom is the one, isn't he?""",汤姆就是那一个
I have to say this.,我得说这事
She's not as old as Mary.,她没有玛丽年纪大
There are holes in the ceiling.,天花板上有洞
He's always worrying about his daughter.,他一直很担心他的女儿
He is a screwball.,他是一个怪人
Many friends came to see me off.,许多朋友来为我送行
I know who likes Tom.,我知道谁喜欢汤姆
Let me stop you right there. We don't want to hear about that.,让我在这打断你
Tom is the coolest person in the world.,汤姆是世界上最酷的人
I took my temperature every six hours.,我每六小时量一次体温
It's too late now.,现在太晚了
It would be nice to have a party.,开个聚会很好
"""I owe him 1,000 dollars.""",我欠他
She cooks chicken the way I like.,她用我喜欢的方式烹调鸡肉
Tom drank some orange juice.,Tom
You can't park around here.,你不能在这附近停车
"""Tom said he was ill, which was a lie.""",汤姆说他病了
The box is empty.,盒子里面没有东西
My hobby is making model planes.,我的嗜好是做模型飞机
I will write letters to you as often as I can.,我会尽可能多给你写信的
I go to church on Sunday.,周日我去做礼拜
What's your favorite iPad app?,你最喜欢的
Tom is growing a mustache.,汤姆留著小胡子
Beauty's in the eye of the beholder.,美驻留在看的那个人的眼里
I like the way you walk.,我喜欢你走路的方式
This factory manufactures CD players.,这个工厂生产
Do you wish to complain?,你想抱怨吗
My son is taller than me.,我儿子比我高
Air is to us what water is to fish.,空气对人来说就是水对鱼的意义
What is your occupation?,你做什么工作
I'll treat you to sushi.,我会请你吃寿司
Have you washed your hands yet?,你洗过你的手了吗
I really enjoy your company.,我非常享受你的陪伴
Your letter made me happy.,你的来信使我快乐
An unforgettable event occurred.,一场令人难忘的事件发生了
When was it finished?,是什么时候完成的
This car needs to be washed.,这辆车需要清洗
We just moved in.,我们才刚搬进来
Somebody's got to do something.,得有人做点什么
Tom and I sat on a bench in the park and talked while we fed pigeons.,我和汤姆在公园的长椅上坐着
Tom put his wallet on the table.,汤姆把钱包放在了桌子上
They have elected a new government.,他们选出了新政府
I know that he can draw.,我知道他会画画
Will you go out tomorrow?,你明天出去吗
"""In Canada, there are many areas where it is illegal to log trees.""",在加拿大有很多区域砍伐树木是非法的
Tom is my grandfather.,Tom
Do you have a mobile phone?,你有手机吗
Hop in.,跳进来
The dog saved the girl's life.,这只狗救了这个小女孩的命
A good idea came to him.,他想到一个好主意
The situation is worse than I thought.,情况比我想的还坏
You should practice playing the violin every day.,你应该每天练习拉小提琴
Everything matters.,任何事情都是重要
They work together.,他们在一起工作
I want to lose weight.,我想减肥
JST stands for Japan Standard Time.,JST
He's at her side.,他在她的旁边
One of them is a spy.,他们其中一人是间谍
I have a bicycle.,我有一辆自行车
This is the town where he was born.,这是他出生的城市
What about you?,你们呢
You must not jump to conclusions.,你不可以妄下结论
He wrote the report.,他写了这份报告
Few people know how to do it.,很少有人知道怎么做
The river's water level has risen.,河的水位上升了
